Name,Price,Stores,Rating,Votes,Type,Connection,Switches
Motospeed K95 (Outemu Brown),29.79,2,4.1,7,Keyboard Only,USB,Outemu Brown
Motospeed K95 (Outemu Red),29.79,3,4.1,7,Keyboard Only,USB,Outemu Red
Motospeed K96 Black (Red Switches),42.82,8,4.4,24,Keyboard Only,USB,Gateron Red
Motospeed K96 Camo (Outemu Blue),49.02,13,4.4,24,Keyboard Only,USB,Outemu Blue
Motospeed K96 CamoGreen (Outemu Black),39.52,7,4.4,24,Keyboard Only,USB,Outemu Black
Motospeed K96 CamoOrange (Outemu Brown),42.18,6,4.4,24,Keyboard Only,USB,Outemu Brown
Motospeed K96 CamoOrange (Outemu Red),42.18,5,4.4,24,Keyboard Only,USB,Outemu Red
Motospeed K96 Grey (Zeus Optical),38.99,3,4.4,24,Keyboard Only,USB,Zeus Optical
Motospeed K96 White (Outemu Blue),39.9,0,4.4,24,Keyboard Only,USB,Outemu Blue
Motospeed K96 White (Outemu Red),50.83,0,4.4,24,Keyboard Only,USB,Outemu Red
MSI GK-701,119.0,2,5.0,2,Keyboard Only,USB,Cherry MX Brown
MSI Vigor GK50 Low Profile (Kailh Box White),92.0,2,0.0,0,Keyboard Only,USB,Kailh Box White
MSI Vigor GK60,77.99,3,0.0,0,Keyboard Only,USB,Cherry MX Red
Nacon CL-700OM,64.9,3,0.0,0,Keyboard Only,USB,Kailh Blue
Natec RX85,69.99,0,0.0,0,Keyboard Only,USB,Kailh Brown
Natec Tornado,34.68,2,5.0,4,Keyboard Only,USB,Outemu Blue
NOD Iron Strike,39.9,32,4.7,3,Keyboard Only,USB,Xinda Blue
Omega Varr Fighter 2,44.75,0,0.0,0,Keyboard Only,USB,Xinda Blue
Omega VARR Neon,64.9,2,0.0,0,Keyboard Only,USB,Jixian Blue
Omega Varr RGB VMK88B,39.9,0,0.0,0,Keyboard Only,USB,Xinda Blue
Omega Varr VMK3BK11,39.85,7,0.0,0,Keyboard Only,USB,Jixian Blue
Patriot Viper 730,54.5,5,4.4,16,Keyboard Only,USB,Kailh Brown
Patriot Viper 770,108.5,9,4.5,10,Keyboard Only,USB,Kailh Red
Patriot Viper V760,96.6,6,5.0,6,Keyboard Only,USB,Kailh Brown
Patriot Viper V765,90.57,3,0.0,0,Keyboard Only,USB,Kailh Box Red
Patriot Viper V765 (Kailh Box White),116.51,0,0.0,0,Keyboard Only,USB,Kailh Box White
Philips SPK8403,56.0,0,4.7,11,Keyboard Only,USB,Outemu Blue
Philips SPK8614,32.8,35,4.7,26,Keyboard Only,USB,Outemu Blue
Philips SPK8614-BRS,33.0,37,4.5,6,Keyboard Only,USB,Outemu Brown
QPAD MK95 Pro,199.0,0,0.0,0,Keyboard Only,USB,Kailh Red / Blue
Razer BlackWidow Chroma (Razer Green),103.5,20,4.6,46,Keyboard Only,USB,Razer Green
Razer Blackwidow Chroma Elite (Razer Green),134.47,35,4.7,69,Keyboard Only,USB,Razer Green
Razer Blackwidow Chroma Elite (Razer Yellow),148.1,22,4.7,69,Keyboard Only,USB,Razer Yellow
Razer Blackwidow Chroma Tournament Edition v2 (Yellow Switches),139.0,0,0.0,0,Keyboard Only,USB,Razer Yellow
Razer Blackwidow Lite,83.55,24,4.4,9,Keyboard Only,USB,Razer Orange
Razer Blackwidow Lite Stormtrooper Edition,94.68,2,5.0,1,Keyboard Only,USB,Razer Orange
Razer BlackWidow Ultimate 2016,179.9,0,4.5,81,Keyboard Only,USB,Razer Green
